Sprint_ID,Project_ID,Sprint_Number,Planned_Story_Points,Completed_Story_Points,Completion_Rate_Pct,Velocity,Bugs_Raised,Bugs_Resolved,Open_Defects_Accumulated
SPT-0074,PRJ-1095,Sprint 1,44,43,97.7,31.5,2,1,1
SPT-0075,PRJ-1096,Sprint 1,50,44,88.0,21.4,9,5,4
SPT-0076,PRJ-1097,Sprint 1,59,53,89.8,14.5,5,3,2
SPT-0077,PRJ-1098,Sprint 1,64,65,101.6,45.6,1,1,0
SPT-0078,PRJ-1099,Sprint 1,55,50,90.9,21.1,6,4,2
SPT-0079,PRJ-1100,Sprint 1,59,62,105.1,53.5,2,2,0
SPT-0080,PRJ-1101,Sprint 1,58,51,87.9,13.3,4,2,2
SPT-0081,PRJ-1102,Sprint 1,51,45,88.2,12.1,7,4,3
SPT-0082,PRJ-1103,Sprint 1,65,63,96.9,46.6,1,1,0
SPT-0083,PRJ-1104,Sprint 1,37,32,86.5,38.6,2,1,1
SPT-0084,PRJ-1105,Sprint 1,46,48,104.3,34.7,1,1,0
SPT-0085,PRJ-1107,Sprint 1,55,56,101.8,37.2,1,1,0
SPT-0086,PRJ-1108,Sprint 1,65,59,90.8,17.5,5,2,3
SPT-0087,PRJ-1109,Sprint 1,43,36,83.7,18.0,7,3,4
SPT-0088,PRJ-1111,Sprint 1,61,54,88.5,11.1,6,3,3
SPT-0089,PRJ-1112,Sprint 1,43,42,97.7,39.7,1,1,0
SPT-0090,PRJ-1114,Sprint 1,39,30,76.9,16.1,4,2,2
SPT-0091,PRJ-1115,Sprint 1,38,32,84.2,16.6,7,4,3
SPT-0092,PRJ-1116,Sprint 1,45,46,102.2,50.7,1,1,0
SPT-0093,PRJ-1117,Sprint 1,65,63,96.9,33.1,4,3,1
SPT-0094,PRJ-1118,Sprint 1,62,57,91.9,12.2,4,2,2
SPT-0095,PRJ-1119,Sprint 1,60,53,88.3,11.7,9,5,4
SPT-0096,PRJ-1120,Sprint 1,54,49,90.7,43.0,2,1,1
SPT-0097,PRJ-1122,Sprint 1,57,55,96.5,37.9,3,2,1
SPT-0098,PRJ-1123,Sprint 1,56,55,98.2,37.5,3,3,0
SPT-0099,PRJ-1124,Sprint 1,47,49,104.3,39.9,2,2,0
SPT-0100,PRJ-1125,Sprint 1,60,57,95.0,47.1,1,1,0
SPT-0101,PRJ-1126,Sprint 1,59,57,96.6,40.9,2,2,0
SPT-0102,PRJ-1127,Sprint 1,46,49,106.5,54.6,3,3,0
SPT-0103,PRJ-1128,Sprint 1,37,36,97.3,37.3,1,1,0
SPT-0104,PRJ-1129,Sprint 1,41,33,80.5,11.9,5,3,2
SPT-0105,PRJ-1130,Sprint 1,63,67,106.3,37.4,2,2,0
SPT-0106,PRJ-1131,Sprint 1,65,57,87.7,12.4,4,2,2
SPT-0107,PRJ-1132,Sprint 1,64,65,101.6,34.3,4,3,1
SPT-0108,PRJ-1133,Sprint 1,56,48,85.7,16.3,5,2,3
SPT-0109,PRJ-1134,Sprint 1,41,38,92.7,48.5,3,2,1
SPT-0110,PRJ-1135,Sprint 1,39,37,94.9,44.3,3,3,0
SPT-0111,PRJ-1136,Sprint 1,42,41,97.6,38.3,4,3,1
SPT-0112,PRJ-1138,Sprint 1,50,48,96.0,48.7,1,1,0
SPT-0113,PRJ-1139,Sprint 1,39,40,102.6,44.8,1,1,0
SPT-0114,PRJ-1140,Sprint 1,60,58,96.7,40.1,1,0,1
SPT-0115,PRJ-1141,Sprint 1,46,38,82.6,21.3,8,5,3
SPT-0116,PRJ-1142,Sprint 1,46,46,100.0,43.3,4,3,1
SPT-0117,PRJ-1143,Sprint 1,45,47,104.4,42.1,1,1,0
SPT-0118,PRJ-1144,Sprint 1,60,53,88.3,14.6,4,1,3
SPT-0119,PRJ-1145,Sprint 1,51,51,100.0,31.8,2,2,0
SPT-0120,PRJ-1146,Sprint 1,56,50,89.3,20.4,6,2,4
SPT-0121,PRJ-1147,Sprint 1,61,65,106.6,45.0,3,3,0
SPT-0122,PRJ-1148,Sprint 1,65,59,90.8,11.7,8,5,3
SPT-0123,PRJ-1149,Sprint 1,46,43,93.5,39.1,2,2,0
SPT-0124,PRJ-1150,Sprint 1,60,60,100.0,39.2,1,0,1
SPT-0125,PRJ-1002,Sprint 2,53,52,98.1,48.5,3,3,0
SPT-0126,PRJ-1004,Sprint 2,61,51,83.6,16.8,8,5,3
SPT-0127,PRJ-1006,Sprint 2,40,30,75.0,11.6,4,2,2
SPT-0128,PRJ-1007,Sprint 2,36,35,97.2,38.8,3,3,0
SPT-0129,PRJ-1008,Sprint 2,51,41,80.4,20.1,4,1,3
SPT-0130,PRJ-1009,Sprint 2,64,66,103.1,41.5,1,1,0
SPT-0131,PRJ-1010,Sprint 2,45,42,93.3,43.4,3,3,0
SPT-0132,PRJ-1011,Sprint 2,53,50,94.3,48.3,1,0,1
SPT-0133,PRJ-1012,Sprint 2,46,47,102.2,39.9,1,0,1
SPT-0134,PRJ-1013,Sprint 2,39,38,97.4,56.1,3,3,0
SPT-0135,PRJ-1014,Sprint 2,60,50,83.3,21.0,9,6,3
SPT-0136,PRJ-1015,Sprint 2,40,40,100.0,48.7,2,2,0
SPT-0137,PRJ-1016,Sprint 2,58,57,98.3,39.5,2,2,0
SPT-0138,PRJ-1017,Sprint 2,65,66,101.5,37.6,1,1,0
SPT-0139,PRJ-1019,Sprint 2,64,62,96.9,37.0,1,0,1
SPT-0140,PRJ-1020,Sprint 2,58,54,93.1,42.9,2,1,1
SPT-0141,PRJ-1021,Sprint 2,40,33,82.5,15.4,9,5,4
SPT-0142,PRJ-1024,Sprint 2,55,55,100.0,31.8,4,4,0
SPT-0143,PRJ-1026,Sprint 2,42,38,90.5,39.4,3,2,1
SPT-0144,PRJ-1027,Sprint 2,58,51,87.9,20.2,4,1,3
SPT-0145,PRJ-1029,Sprint 2,49,52,106.1,42.7,2,2,0
SPT-0146,PRJ-1030,Sprint 2,63,53,84.1,17.2,7,4,3
SPT-0147,PRJ-1031,Sprint 2,46,48,104.3,32.7,2,2,0
SPT-0148,PRJ-1032,Sprint 2,50,48,96.0,45.6,2,1,1
SPT-0149,PRJ-1033,Sprint 2,62,55,88.7,20.2,6,4,2
SPT-0150,PRJ-1034,Sprint 2,45,36,80.0,19.9,4,2,2
SPT-0151,PRJ-1035,Sprint 2,45,37,82.2,21.2,7,5,2
SPT-0152,PRJ-1036,Sprint 2,58,56,96.6,57.4,3,3,0
SPT-0153,PRJ-1038,Sprint 2,37,37,100.0,38.2,4,4,0
SPT-0154,PRJ-1039,Sprint 2,55,47,85.5,14.4,8,5,3
SPT-0155,PRJ-1040,Sprint 2,40,35,87.5,35.7,1,0,1
SPT-0156,PRJ-1041,Sprint 2,41,42,102.4,42.7,3,2,1
SPT-0157,PRJ-1043,Sprint 2,38,33,86.8,34.3,4,3,1
SPT-0158,PRJ-1044,Sprint 2,46,39,84.8,15.1,7,5,2
SPT-0159,PRJ-1045,Sprint 2,44,33,75.0,15.0,7,5,2
SPT-0160,PRJ-1047,Sprint 2,38,36,94.7,37.4,1,1,0
SPT-0161,PRJ-1048,Sprint 2,44,42,95.5,48.5,2,2,0
SPT-0162,PRJ-1050,Sprint 2,44,45,102.3,49.5,4,3,1
SPT-0163,PRJ-1051,Sprint 2,43,39,90.7,35.9,4,4,0
SPT-0164,PRJ-1052,Sprint 2,47,38,80.9,10.2,5,2,3
SPT-0165,PRJ-1053,Sprint 2,36,36,100.0,44.2,2,2,0
SPT-0166,PRJ-1054,Sprint 2,42,33,78.6,21.2,8,6,2
SPT-0167,PRJ-1055,Sprint 2,39,35,89.7,35.6,1,0,1
SPT-0168,PRJ-1056,Sprint 2,48,46,95.8,48.7,1,0,1
SPT-0169,PRJ-1057,Sprint 2,48,50,104.2,44.7,2,1,1
SPT-0170,PRJ-1059,Sprint 2,47,40,85.1,20.2,8,4,4
SPT-0171,PRJ-1060,Sprint 2,63,60,95.2,38.1,1,0,1
SPT-0172,PRJ-1062,Sprint 2,40,38,95.0,31.5,2,2,0
SPT-0173,PRJ-1063,Sprint 2,37,38,102.7,49.0,2,2,0
SPT-0174,PRJ-1064,Sprint 2,43,43,100.0,42.8,1,1,0
SPT-0175,PRJ-1065,Sprint 2,47,47,100.0,49.3,3,2,1
SPT-0176,PRJ-1066,Sprint 2,35,36,102.9,40.6,1,0,1
SPT-0177,PRJ-1067,Sprint 2,53,42,79.2,21.0,8,6,2
SPT-0178,PRJ-1068,Sprint 2,64,62,96.9,50.4,3,3,0
SPT-0179,PRJ-1071,Sprint 2,60,51,85.0,18.0,8,5,3
SPT-0180,PRJ-1072,Sprint 2,63,64,101.6,34.4,2,2,0
SPT-0181,PRJ-1073,Sprint 2,50,39,78.0,21.6,8,5,3
SPT-0182,PRJ-1074,Sprint 2,36,33,91.7,35.1,3,2,1
SPT-0183,PRJ-1076,Sprint 2,54,57,105.6,47.1,3,3,0
SPT-0184,PRJ-1077,Sprint 2,47,38,80.9,19.2,9,7,2
SPT-0185,PRJ-1079,Sprint 2,36,38,105.6,31.7,3,2,1
SPT-0186,PRJ-1080,Sprint 2,61,52,85.2,18.3,6,3,3
SPT-0187,PRJ-1081,Sprint 2,61,63,103.3,45.5,1,1,0
SPT-0188,PRJ-1083,Sprint 2,58,48,82.8,20.5,6,3,3
SPT-0189,PRJ-1084,Sprint 2,58,48,82.8,19.8,8,4,4
SPT-0190,PRJ-1085,Sprint 2,37,35,94.6,42.3,4,4,0
SPT-0191,PRJ-1088,Sprint 2,48,50,104.2,40.4,3,3,0
SPT-0192,PRJ-1089,Sprint 2,40,38,95.0,41.8,2,2,0
SPT-0193,PRJ-1090,Sprint 2,47,39,83.0,13.2,8,4,4
SPT-0194,PRJ-1091,Sprint 2,35,27,77.1,18.9,5,3,2
SPT-0195,PRJ-1092,Sprint 2,61,56,91.8,43.0,2,2,0
SPT-0196,PRJ-1093,Sprint 2,64,64,100.0,34.4,2,1,1
SPT-0197,PRJ-1094,Sprint 2,49,38,77.6,19.3,7,3,4
SPT-0198,PRJ-1095,Sprint 2,64,60,93.8,31.5,1,1,0
SPT-0199,PRJ-1096,Sprint 2,54,44,81.5,20.2,5,2,3
SPT-0200,PRJ-1097,Sprint 2,53,42,79.2,13.3,6,3,3
SPT-0201,PRJ-1098,Sprint 2,40,39,97.5,42.6,1,0,1
SPT-0202,PRJ-1099,Sprint 2,36,28,77.8,19.9,8,6,2
SPT-0203,PRJ-1100,Sprint 2,62,61,98.4,50.4,3,3,0
SPT-0204,PRJ-1101,Sprint 2,41,32,78.0,12.1,9,6,3
SPT-0205,PRJ-1102,Sprint 2,51,44,86.3,10.9,9,7,2
SPT-0206,PRJ-1103,Sprint 2,50,49,98.0,43.9,3,3,0
SPT-0207,PRJ-1104,Sprint 2,60,55,91.7,38.1,2,1,1
SPT-0208,PRJ-1105,Sprint 2,65,64,98.5,37.1,3,2,1
SPT-0209,PRJ-1107,Sprint 2,62,62,100.0,35.9,4,3,1
SPT-0210,PRJ-1108,Sprint 2,44,33,75.0,16.3,8,5,3
SPT-0211,PRJ-1109,Sprint 2,53,46,86.8,16.8,4,1,3
SPT-0212,PRJ-1111,Sprint 2,56,47,83.9,10.0,8,4,4
SPT-0213,PRJ-1112,Sprint 2,54,56,103.7,36.5,2,2,0
SPT-0214,PRJ-1114,Sprint 2,38,28,73.7,14.9,4,1,3
SPT-0215,PRJ-1115,Sprint 2,43,34,79.1,15.4,6,3,3
SPT-0216,PRJ-1116,Sprint 2,55,58,105.5,49.5,3,3,0
SPT-0217,PRJ-1117,Sprint 2,39,37,94.9,34.3,1,0,1
SPT-0218,PRJ-1118,Sprint 2,56,48,85.7,11.0,9,7,2
SPT-0219,PRJ-1119,Sprint 2,55,45,81.8,10.5,6,3,3
SPT-0220,PRJ-1120,Sprint 2,64,65,101.6,46.5,4,3,1
SPT-0221,PRJ-1122,Sprint 2,53,51,96.2,38.9,3,3,0
SPT-0222,PRJ-1123,Sprint 2,55,57,103.6,42.4,3,2,1
SPT-0223,PRJ-1124,Sprint 2,61,58,95.1,39.9,3,3,0
SPT-0224,PRJ-1125,Sprint 2,58,57,98.3,50.6,2,1,1
SPT-0225,PRJ-1126,Sprint 2,42,42,100.0,38.5,2,1,1
SPT-0226,PRJ-1127,Sprint 2,63,63,100.0,51.2,2,2,0
SPT-0227,PRJ-1128,Sprint 2,44,46,104.5,31.6,1,0,1
SPT-0228,PRJ-1129,Sprint 2,55,44,80.0,10.7,8,4,4
SPT-0229,PRJ-1130,Sprint 2,37,38,102.7,39.3,1,1,0
SPT-0230,PRJ-1131,Sprint 2,62,52,83.9,11.2,8,5,3
SPT-0231,PRJ-1132,Sprint 2,48,43,89.6,40.1,2,2,0
SPT-0232,PRJ-1133,Sprint 2,45,35,77.8,15.1,8,5,3
SPT-0233,PRJ-1134,Sprint 2,39,39,100.0,48.7,2,2,0
SPT-0234,PRJ-1135,Sprint 2,55,54,98.2,44.4,2,2,0
SPT-0235,PRJ-1136,Sprint 2,35,37,105.7,37.6,3,3,0
SPT-0236,PRJ-1138,Sprint 2,40,42,105.0,49.7,1,1,0
SPT-0237,PRJ-1139,Sprint 2,59,63,106.8,42.2,1,1,0
SPT-0238,PRJ-1140,Sprint 2,48,49,102.1,41.2,4,3,1
SPT-0239,PRJ-1141,Sprint 2,47,40,85.1,20.1,4,1,3
SPT-0240,PRJ-1142,Sprint 2,41,41,100.0,46.7,1,0,1
SPT-0241,PRJ-1143,Sprint 2,51,50,98.0,45.4,1,1,0
SPT-0242,PRJ-1144,Sprint 2,55,47,85.5,13.4,5,1,4
SPT-0243,PRJ-1145,Sprint 2,63,63,100.0,31.8,3,3,0
SPT-0244,PRJ-1146,Sprint 2,51,40,78.4,19.2,6,4,2
SPT-0245,PRJ-1147,Sprint 2,37,41,110.8,46.2,1,1,0
SPT-0246,PRJ-1148,Sprint 2,44,34,77.3,10.5,9,5,4
SPT-0247,PRJ-1149,Sprint 2,54,54,100.0,37.6,4,4,0
SPT-0248,PRJ-1150,Sprint 2,63,65,103.2,34.5,3,3,0
SPT-0249,PRJ-1002,Sprint 3,64,68,106.2,43.9,2,2,0
SPT-0250,PRJ-1004,Sprint 3,42,31,73.8,15.6,5,1,4
SPT-0251,PRJ-1006,Sprint 3,35,21,60.0,10.4,8,6,2
SPT-0252,PRJ-1007,Sprint 3,38,38,100.0,41.0,3,3,0
SPT-0253,PRJ-1008,Sprint 3,36,23,63.9,18.9,9,6,3
SPT-0254,PRJ-1009,Sprint 3,59,61,103.4,37.7,3,3,0
SPT-0255,PRJ-1010,Sprint 3,36,32,88.9,47.4,1,1,0
SPT-0256,PRJ-1011,Sprint 3,48,50,104.2,45.8,4,4,0
SPT-0257,PRJ-1012,Sprint 3,50,47,94.0,39.9,2,2,0
SPT-0258,PRJ-1013,Sprint 3,56,54,96.4,54.0,3,3,0
SPT-0259,PRJ-1014,Sprint 3,54,40,74.1,19.8,9,7,2
SPT-0260,PRJ-1015,Sprint 3,48,44,91.7,47.1,1,0,1
SPT-0261,PRJ-1016,Sprint 3,38,40,105.3,39.8,2,2,0
SPT-0262,PRJ-1017,Sprint 3,61,59,96.7,35.8,3,2,1
SPT-0263,PRJ-1019,Sprint 3,36,38,105.6,38.2,2,1,1
SPT-0264,PRJ-1020,Sprint 3,35,30,85.7,42.0,1,1,0
SPT-0265,PRJ-1021,Sprint 3,56,43,76.8,14.2,5,3,2
SPT-0266,PRJ-1024,Sprint 3,59,55,93.2,34.1,1,0,1
SPT-0267,PRJ-1026,Sprint 3,49,48,98.0,35.0,3,2,1
SPT-0268,PRJ-1027,Sprint 3,61,50,82.0,19.0,4,1,3
SPT-0269,PRJ-1029,Sprint 3,46,50,108.7,39.5,3,3,0
SPT-0270,PRJ-1030,Sprint 3,58,48,82.8,16.0,4,2,2
SPT-0271,PRJ-1031,Sprint 3,35,39,111.4,35.5,1,1,0
SPT-0272,PRJ-1032,Sprint 3,40,40,100.0,50.9,3,2,1
SPT-0273,PRJ-1033,Sprint 3,43,33,76.7,19.0,6,3,3
SPT-0274,PRJ-1034,Sprint 3,40,30,75.0,18.7,7,4,3
SPT-0275,PRJ-1035,Sprint 3,65,52,80.0,20.0,6,3,3
SPT-0276,PRJ-1036,Sprint 3,57,61,107.0,56.7,2,2,0
SPT-0277,PRJ-1038,Sprint 3,55,52,94.5,39.8,1,1,0
SPT-0278,PRJ-1039,Sprint 3,36,25,69.4,13.2,4,1,3
SPT-0279,PRJ-1040,Sprint 3,64,66,103.1,38.2,4,4,0
SPT-0280,PRJ-1041,Sprint 3,59,59,100.0,43.8,1,1,0
SPT-0281,PRJ-1043,Sprint 3,50,46,92.0,33.7,4,3,1
SPT-0282,PRJ-1044,Sprint 3,43,31,72.1,13.9,4,1,3
SPT-0283,PRJ-1045,Sprint 3,62,48,77.4,13.8,9,5,4
SPT-0284,PRJ-1047,Sprint 3,58,60,103.4,41.4,1,1,0
SPT-0285,PRJ-1048,Sprint 3,56,60,107.1,46.9,2,2,0
SPT-0286,PRJ-1050,Sprint 3,57,53,93.0,47.0,4,4,0
SPT-0287,PRJ-1051,Sprint 3,56,57,101.8,33.8,2,2,0
SPT-0288,PRJ-1052,Sprint 3,64,53,82.8,10.0,8,5,3
SPT-0289,PRJ-1053,Sprint 3,62,63,101.6,42.3,1,1,0
SPT-0290,PRJ-1054,Sprint 3,50,38,76.0,20.0,5,2,3
SPT-0291,PRJ-1055,Sprint 3,43,38,88.4,33.2,2,1,1
SPT-0292,PRJ-1056,Sprint 3,42,38,90.5,48.6,4,3,1
SPT-0293,PRJ-1057,Sprint 3,49,45,91.8,44.8,4,3,1
SPT-0294,PRJ-1059,Sprint 3,50,40,80.0,19.0,4,1,3
SPT-0295,PRJ-1060,Sprint 3,48,43,89.6,41.9,1,1,0
SPT-0296,PRJ-1062,Sprint 3,65,64,98.5,36.9,2,1,1
SPT-0297,PRJ-1063,Sprint 3,46,41,89.1,46.0,2,1,1
SPT-0298,PRJ-1064,Sprint 3,59,61,103.4,41.2,3,2,1
SPT-0299,PRJ-1065,Sprint 3,59,57,96.6,45.9,1,0,1
SPT-0300,PRJ-1066,Sprint 3,55,54,98.2,40.0,3,3,0
SPT-0301,PRJ-1067,Sprint 3,40,27,67.5,19.8,5,1,4
SPT-0302,PRJ-1068,Sprint 3,58,61,105.2,47.0,2,2,0
SPT-0303,PRJ-1071,Sprint 3,54,43,79.6,16.8,5,3,2
SPT-0304,PRJ-1072,Sprint 3,64,68,106.2,33.6,2,2,0
SPT-0305,PRJ-1073,Sprint 3,61,50,82.0,20.4,9,6,3
SPT-0306,PRJ-1074,Sprint 3,38,39,102.6,38.8,1,1,0
SPT-0307,PRJ-1076,Sprint 3,49,50,102.0,48.0,3,3,0
SPT-0308,PRJ-1077,Sprint 3,51,40,78.4,18.0,7,5,2
SPT-0309,PRJ-1079,Sprint 3,51,46,90.2,37.1,4,3,1
SPT-0310,PRJ-1080,Sprint 3,59,48,81.4,17.1,9,5,4
SPT-0311,PRJ-1081,Sprint 3,40,37,92.5,48.6,1,0,1
SPT-0312,PRJ-1083,Sprint 3,54,42,77.8,19.3,8,5,3
SPT-0313,PRJ-1084,Sprint 3,48,34,70.8,18.6,9,7,2
SPT-0314,PRJ-1085,Sprint 3,43,44,102.3,39.5,3,2,1
SPT-0315,PRJ-1088,Sprint 3,39,36,92.3,42.4,4,3,1
SPT-0316,PRJ-1089,Sprint 3,52,56,107.7,41.9,2,2,0
SPT-0317,PRJ-1090,Sprint 3,64,50,78.1,12.0,9,7,2
SPT-0318,PRJ-1091,Sprint 3,41,30,73.2,17.7,8,4,4
SPT-0319,PRJ-1092,Sprint 3,44,44,100.0,43.3,2,2,0
SPT-0320,PRJ-1093,Sprint 3,57,57,100.0,35.6,1,0,1
SPT-0321,PRJ-1094,Sprint 3,53,39,73.6,18.1,9,5,4
SPT-0322,PRJ-1095,Sprint 3,48,47,97.9,32.4,4,4,0
SPT-0323,PRJ-1096,Sprint 3,35,22,62.9,19.0,5,3,2
SPT-0324,PRJ-1097,Sprint 3,56,46,82.1,12.1,5,2,3
SPT-0325,PRJ-1098,Sprint 3,59,56,94.9,43.3,3,2,1
SPT-0326,PRJ-1099,Sprint 3,36,24,66.7,18.7,5,1,4
SPT-0327,PRJ-1100,Sprint 3,36,36,100.0,49.8,2,2,0
SPT-0328,PRJ-1101,Sprint 3,62,48,77.4,10.9,5,1,4
SPT-0329,PRJ-1102,Sprint 3,55,41,74.5,10.0,7,5,2
SPT-0330,PRJ-1103,Sprint 3,51,55,107.8,44.4,3,3,0
SPT-0331,PRJ-1104,Sprint 3,56,51,91.1,36.9,4,3,1
SPT-0332,PRJ-1105,Sprint 3,60,60,100.0,36.2,1,1,0
SPT-0333,PRJ-1107,Sprint 3,41,43,104.9,39.1,2,1,1
SPT-0334,PRJ-1108,Sprint 3,52,38,73.1,15.1,5,1,4
SPT-0335,PRJ-1109,Sprint 3,65,54,83.1,15.6,6,3,3
SPT-0336,PRJ-1111,Sprint 3,40,30,75.0,10.0,5,3,2
SPT-0337,PRJ-1112,Sprint 3,58,60,103.4,36.9,1,1,0
SPT-0338,PRJ-1114,Sprint 3,48,36,75.0,13.7,8,5,3
SPT-0339,PRJ-1115,Sprint 3,39,28,71.8,14.2,8,5,3
SPT-0340,PRJ-1116,Sprint 3,35,35,100.0,51.5,2,2,0
SPT-0341,PRJ-1117,Sprint 3,39,34,87.2,33.9,2,1,1
SPT-0342,PRJ-1118,Sprint 3,59,45,76.3,10.0,9,6,3
SPT-0343,PRJ-1119,Sprint 3,50,36,72.0,10.0,8,5,3
SPT-0344,PRJ-1120,Sprint 3,37,37,100.0,45.2,2,2,0
SPT-0345,PRJ-1122,Sprint 3,60,57,95.0,35.4,4,3,1
