Project_ID,Project_Name,Client,Department,Technology,Manager,Status,Risk,Budget,Actual_Cost,Progress,Sprint_Velocity,Team_Size,Open_Bugs,Remaining_Days,Team_Utilization,Start_Date,End_Date,Health_Score,Health_Category
PRJ-1015,Horizon Predictive Transformation,Horizon Retail Enterprises,AI & Automation,Predictive Analytics Core,Elena Rostova (Principal Lead),Active,Medium,1380900.0,680300.0,47.1,49.4,6,3,94,84.6,2026-05-12,2026-10-10,85,Good
PRJ-1016,Pinnacle Multi-Cloud Transformation,Pinnacle Mutual Insurance,Cloud Infrastructure,Multi-Cloud Terraform Mesh,Alexander Wright (VP Delivery),Active,Low,719500.0,405700.0,57.7,38.1,12,0,100,82.5,2026-05-07,2026-10-27,90,Excellent
PRJ-1017,Global AWS Transformation,Global Health Biosciences,Cloud Infrastructure,AWS EKS Multi-Region,Sophia Al-Mansoor (Sr. Manager),Active,Low,447600.0,347300.0,81.0,37.0,4,1,87,79.1,2026-04-04,2026-11-29,93,Excellent
PRJ-1018,Prism Serverless Transformation,Prism Media International,Cloud Infrastructure,Serverless Event Grid,Liam O'Connor (Principal Architect),Planned,Low,764900.0,0.0,0.0,30.7,10,0,84,0.0,2026-07-28,2027-01-20,71,Needs Attention
PRJ-1019,Pinnacle Salesforce Transformation,Pinnacle Mutual Insurance,Digital Transformation,Salesforce Enterprise Sync,Rachel Green (Sr. Manager),Active,Low,1097800.0,775700.0,69.2,39.2,14,0,68,85.0,2026-05-10,2026-10-12,92,Excellent
PRJ-1020,Vanguard Computer Transformation,Vanguard Logistics International,AI & Automation,Computer Vision Platform,David Kim (Delivery VP),Active,Low,332200.0,155500.0,47.9,40.0,6,0,135,85.6,2026-05-14,2026-10-06,88,Good
PRJ-1021,Oceana PyTorch Transformation,Oceana Global Shipping,AI & Automation,PyTorch & LLM Engine,Jonathan Sterling (Practice Lead),Delayed,High,1409700.0,1068600.0,53.2,17.8,16,24,-5,98.9,2026-03-29,2026-06-07,44,Critical
PRJ-1022,Apex GCP Transformation,Apex Financial Group,Cloud Infrastructure,GCP Vertex Cloud Ops,Rachel Green (Sr. Manager),Planned,Low,1169300.0,0.0,0.0,32.0,11,0,202,0.0,2026-07-21,2026-12-09,72,Needs Attention
PRJ-1023,Vanguard React Transformation,Vanguard Logistics International,Digital Transformation,React Native Omni-App,Priya Patel (PMO Lead),Planned,Low,226000.0,0.0,0.0,35.6,15,0,140,0.0,2026-07-14,2026-11-30,73,Needs Attention
PRJ-1024,Prism PyTorch Transformation,Prism Media International,AI & Automation,PyTorch & LLM Engine,Liam O'Connor (Principal Architect),Active,Low,1258500.0,445600.0,35.2,33.2,6,1,33,83.8,2026-02-08,2026-08-27,83,Good
PRJ-1025,Global GCP Transformation,Global Health Biosciences,Cloud Infrastructure,GCP Vertex Cloud Ops,Michelle Chang (Director),Planned,Low,922900.0,0.0,0.0,29.1,13,0,209,0.0,2026-08-08,2026-12-21,71,Needs Attention
PRJ-1026,Vanguard Apache Transformation,Vanguard Logistics International,Data Engineering,Apache Kafka Streaming,Alexander Wright (VP Delivery),Active,Medium,460300.0,185600.0,39.5,37.7,10,3,121,86.4,2026-03-14,2026-08-18,83,Good
PRJ-1027,Prism GenAI Transformation,Prism Media International,AI & Automation,GenAI Enterprise Assistant,Michelle Chang (Director),Delayed,High,245200.0,130700.0,37.8,22.6,7,20,-15,95.4,2026-01-31,2026-07-08,40,Critical
PRJ-1028,Centurion GCP Transformation,Centurion Capital Partners,Cloud Infrastructure,GCP Vertex Cloud Ops,Sophia Al-Mansoor (Sr. Manager),Planned,Low,1429000.0,0.0,0.0,37.2,16,0,62,0.0,2026-08-09,2027-01-29,73,Needs Attention
PRJ-1029,Horizon Databricks Transformation,Horizon Retail Enterprises,Data Engineering,Databricks Lakehouse Core,Priya Patel (PMO Lead),Completed,Low,289100.0,271400.0,100.0,39.9,12,0,0,79.7,2025-11-23,2026-06-10,100,Excellent
PRJ-1030,Oceana Snowflake Transformation,Oceana Global Shipping,Data Engineering,Snowflake Realtime ETL,Alexander Wright (VP Delivery),Delayed,Medium,807000.0,778000.0,55.7,19.6,8,11,-13,93.3,2026-01-18,2026-06-19,46,Critical
PRJ-1031,Oceana Snowflake Transformation,Oceana Global Shipping,Data Engineering,Snowflake Realtime ETL,Priya Patel (PMO Lead),Completed,Low,724400.0,703600.0,100.0,34.2,15,0,0,78.6,2026-03-26,2026-06-06,99,Excellent
PRJ-1032,Apex Serverless Transformation,Apex Financial Group,Cloud Infrastructure,Serverless Event Grid,Arthur Pendelton (Director),Active,Low,342500.0,116700.0,34.4,48.2,6,0,51,83.8,2026-04-06,2026-10-21,86,Good
PRJ-1033,Centurion Agentic Transformation,Centurion Capital Partners,AI & Automation,Agentic AI Orchestrator,Rachel Green (Sr. Manager),Delayed,Medium,1124300.0,1084300.0,53.9,22.6,7,14,-29,94.2,2026-04-16,2026-07-03,43,Critical
PRJ-1034,Oceana dbt Transformation,Oceana Global Shipping,Data Engineering,dbt Analytics Mesh,Sophia Al-Mansoor (Sr. Manager),Delayed,Medium,496800.0,352400.0,46.6,22.3,16,10,-16,94.3,2026-01-26,2026-06-07,49,Critical
PRJ-1035,Sterling Salesforce Transformation,Sterling Telecom Corp,Digital Transformation,Salesforce Enterprise Sync,Benjamin Hayes (Principal Architect),Delayed,Medium,439800.0,156100.0,23.7,23.6,14,11,-13,95.3,2026-02-07,2026-06-15,42,Critical
PRJ-1036,Nexus API Transformation,Nexus Renewable Energy,Digital Transformation,API Gateway Zero-Trust,Sarah Jenkins (Director),Completed,Low,1411500.0,1396900.0,100.0,54.7,6,0,0,78.3,2025-11-29,2026-06-18,100,Excellent
PRJ-1037,Hyperion Salesforce Transformation,Hyperion Semiconductor Corp,Digital Transformation,Salesforce Enterprise Sync,Benjamin Hayes (Principal Architect),Planned,Low,938100.0,0.0,0.0,29.6,12,0,207,0.0,2026-08-19,2026-12-13,71,Needs Attention
PRJ-1038,Apex Multi-Cloud Transformation,Apex Financial Group,Cloud Infrastructure,Multi-Cloud Terraform Mesh,Sophia Al-Mansoor (Sr. Manager),Active,Low,825900.0,532900.0,62.7,38.6,16,1,33,86.5,2026-04-18,2026-09-12,90,Excellent
PRJ-1039,Nexus Airflow Transformation,Nexus Renewable Energy,Data Engineering,Airflow Governance Sync,Alexander Wright (VP Delivery),Delayed,High,1085700.0,677200.0,37.8,16.8,8,19,-12,96.6,2026-04-25,2026-06-22,38,Critical
PRJ-1040,Oceana GCP Transformation,Oceana Global Shipping,Cloud Infrastructure,GCP Vertex Cloud Ops,Rachel Green (Sr. Manager),Active,Low,1323600.0,847900.0,64.4,37.5,13,0,51,81.3,2026-03-01,2026-08-23,91,Excellent
PRJ-1041,Quantum dbt Transformation,Quantum Aerospace Dynamics,Data Engineering,dbt Analytics Mesh,Liam O'Connor (Principal Architect),Active,Low,814500.0,704800.0,83.4,43.9,16,1,61,82.2,2026-04-07,2026-08-25,94,Excellent
PRJ-1042,Vanguard Databricks Transformation,Vanguard Logistics International,Data Engineering,Databricks Lakehouse Core,Alexander Wright (VP Delivery),Planned,Low,1198500.0,0.0,0.0,28.3,6,0,122,0.0,2026-08-06,2027-03-16,71,Needs Attention
PRJ-1043,Global API Transformation,Global Health Biosciences,Digital Transformation,API Gateway Zero-Trust,Liam O'Connor (Principal Architect),Active,Medium,968700.0,700700.0,72.9,36.4,7,3,108,83.9,2026-03-17,2026-08-19,89,Good
PRJ-1044,Vanguard GenAI Transformation,Vanguard Logistics International,AI & Automation,GenAI Enterprise Assistant,Elena Rostova (Principal Lead),Delayed,Medium,1054700.0,266800.0,17.3,17.5,11,12,-1,97.3,2026-05-06,2026-06-23,38,Critical
PRJ-1045,Prism dbt Transformation,Prism Media International,Data Engineering,dbt Analytics Mesh,Sophia Al-Mansoor (Sr. Manager),Delayed,High,704800.0,351700.0,35.1,17.4,12,24,-15,98.5,2026-01-08,2026-06-07,42,Critical
PRJ-1046,Quantum Airflow Transformation,Quantum Aerospace Dynamics,Data Engineering,Airflow Governance Sync,Alexander Wright (VP Delivery),Planned,Low,721800.0,0.0,0.0,32.0,15,0,129,0.0,2026-07-15,2027-02-01,72,Needs Attention
PRJ-1047,Centurion Apache Transformation,Centurion Capital Partners,Data Engineering,Apache Kafka Streaming,Marcus Vance (Sr. Manager),Completed,Low,450600.0,422800.0,100.0,38.5,15,0,0,81.3,2026-02-24,2026-05-28,100,Excellent
PRJ-1048,Quantum Airflow Transformation,Quantum Aerospace Dynamics,Data Engineering,Airflow Governance Sync,Rachel Green (Sr. Manager),Completed,Low,1232800.0,1268000.0,100.0,46.3,10,0,0,83.6,2025-11-07,2026-05-27,100,Excellent
PRJ-1049,Apex SAP Transformation,Apex Financial Group,Digital Transformation,SAP S/4HANA Core Modernization,Arthur Pendelton (Director),Planned,Low,657000.0,0.0,0.0,35.5,10,0,199,0.0,2026-08-24,2027-01-16,73,Needs Attention
PRJ-1050,Vanguard GCP Transformation,Vanguard Logistics International,Cloud Infrastructure,GCP Vertex Cloud Ops,Priya Patel (PMO Lead),Active,Low,187700.0,136600.0,70.1,47.1,9,1,41,86.8,2026-05-28,2026-11-14,92,Excellent
PRJ-1051,Prism GenAI Transformation,Prism Media International,AI & Automation,GenAI Enterprise Assistant,Michelle Chang (Director),Active,Low,259100.0,102900.0,39.7,36.7,10,0,66,79.1,2026-01-28,2026-10-26,86,Good
PRJ-1052,Pinnacle Apache Transformation,Pinnacle Mutual Insurance,Data Engineering,Apache Kafka Streaming,Priya Patel (PMO Lead),Delayed,High,1231500.0,1011600.0,52.6,12.6,8,26,-8,94.5,2026-03-26,2026-06-24,46,Critical
PRJ-1053,Apex PyTorch Transformation,Apex Financial Group,AI & Automation,PyTorch & LLM Engine,David Kim (Delivery VP),Completed,Low,176500.0,167400.0,100.0,43.9,6,0,0,78.9,2025-12-08,2026-06-06,100,Excellent
PRJ-1054,Hyperion GCP Transformation,Hyperion Semiconductor Corp,Cloud Infrastructure,GCP Vertex Cloud Ops,Priya Patel (PMO Lead),Delayed,Medium,368100.0,359700.0,58.4,23.6,13,14,-24,96.8,2026-01-11,2026-06-21,43,Critical
PRJ-1055,Oceana Airflow Transformation,Oceana Global Shipping,Data Engineering,Airflow Governance Sync,Rachel Green (Sr. Manager),Active,Low,1079500.0,738600.0,65.7,33.8,5,1,123,80.0,2026-03-24,2026-11-26,89,Good
PRJ-1056,Apex Predictive Transformation,Apex Financial Group,AI & Automation,Predictive Analytics Core,Arthur Pendelton (Director),Active,Medium,1010000.0,606400.0,60.8,46.8,5,3,38,81.3,2026-05-16,2026-08-25,88,Good
PRJ-1057,Hyperion dbt Transformation,Hyperion Semiconductor Corp,Data Engineering,dbt Analytics Mesh,Elena Rostova (Principal Lead),Active,Medium,1103900.0,543600.0,47.4,45.9,14,4,84,81.4,2026-03-30,2026-08-14,84,Good
PRJ-1058,Vanguard Apache Transformation,Vanguard Logistics International,Data Engineering,Apache Kafka Streaming,Marcus Vance (Sr. Manager),Planned,Low,736000.0,0.0,0.0,34.5,16,0,216,0.0,2026-08-21,2027-03-12,72,Needs Attention
PRJ-1059,Apex Salesforce Transformation,Apex Financial Group,Digital Transformation,Salesforce Enterprise Sync,Liam O'Connor (Principal Architect),Delayed,High,386400.0,175600.0,31.0,22.6,7,17,-13,96.6,2026-02-04,2026-06-28,42,Critical
PRJ-1060,Vanguard AWS Transformation,Vanguard Logistics International,Cloud Infrastructure,AWS EKS Multi-Region,Sophia Al-Mansoor (Sr. Manager),Active,Medium,871700.0,635500.0,71.4,40.1,7,3,27,77.9,2026-04-13,2026-08-10,90,Excellent
PRJ-1061,Hyperion GCP Transformation,Hyperion Semiconductor Corp,Cloud Infrastructure,GCP Vertex Cloud Ops,David Kim (Delivery VP),Planned,Low,906000.0,0.0,0.0,35.7,11,0,148,0.0,2026-08-14,2027-01-18,73,Needs Attention
PRJ-1062,Nexus API Transformation,Nexus Renewable Energy,Digital Transformation,API Gateway Zero-Trust,Arthur Pendelton (Director),Active,Low,502200.0,233100.0,45.1,34.2,8,2,93,86.5,2026-05-04,2026-09-30,84,Good
PRJ-1063,Vanguard Azure Transformation,Vanguard Logistics International,Cloud Infrastructure,Azure Landing Zone Core,Sophia Al-Mansoor (Sr. Manager),Active,Low,1092000.0,663200.0,61.9,47.0,16,0,62,79.3,2026-01-27,2026-09-02,91,Excellent
PRJ-1064,Apex Multi-Cloud Transformation,Apex Financial Group,Cloud Infrastructure,Multi-Cloud Terraform Mesh,Sophia Al-Mansoor (Sr. Manager),Active,Low,506600.0,330300.0,63.5,43.5,4,1,121,81.9,2026-01-29,2026-11-23,90,Excellent
PRJ-1065,Sterling Predictive Transformation,Sterling Telecom Corp,AI & Automation,Predictive Analytics Core,Liam O'Connor (Principal Architect),Active,Low,592900.0,287400.0,46.4,46.8,4,0,76,81.9,2026-05-16,2026-11-10,88,Good
PRJ-1066,Horizon Computer Transformation,Horizon Retail Enterprises,AI & Automation,Computer Vision Platform,Benjamin Hayes (Principal Architect),Active,Medium,545000.0,218700.0,38.8,42.7,7,4,104,79.3,2026-03-06,2026-07-28,82,Good
PRJ-1067,Quantum SAP Transformation,Quantum Aerospace Dynamics,Digital Transformation,SAP S/4HANA Core Modernization,Priya Patel (PMO Lead),Delayed,Medium,1437000.0,803400.0,40.6,23.4,8,12,-17,97.1,2026-04-21,2026-07-09,43,Critical
PRJ-1068,Horizon Databricks Transformation,Horizon Retail Enterprises,Data Engineering,Databricks Lakehouse Core,David Kim (Delivery VP),Completed,Low,247600.0,239900.0,100.0,48.5,4,0,0,81.8,2025-11-10,2026-05-31,100,Excellent
PRJ-1069,Sterling Computer Transformation,Sterling Telecom Corp,AI & Automation,Computer Vision Platform,Sophia Al-Mansoor (Sr. Manager),Planned,Low,1267500.0,0.0,0.0,37.6,5,0,127,0.0,2026-07-14,2027-02-22,73,Needs Attention
PRJ-1070,Global GCP Transformation,Global Health Biosciences,Cloud Infrastructure,GCP Vertex Cloud Ops,Jonathan Sterling (Practice Lead),Planned,Low,343700.0,0.0,0.0,39.6,8,0,78,0.0,2026-08-14,2026-11-13,74,Needs Attention
PRJ-1071,Sterling Computer Transformation,Sterling Telecom Corp,AI & Automation,Computer Vision Platform,Michelle Chang (Director),Delayed,High,890000.0,483400.0,34.8,20.4,8,18,-13,96.3,2026-02-27,2026-06-25,38,Critical
PRJ-1072,Global SAP Transformation,Global Health Biosciences,Digital Transformation,SAP S/4HANA Core Modernization,Michelle Chang (Director),Completed,Low,711600.0,706200.0,100.0,34.5,9,0,0,79.8,2025-12-07,2026-06-15,99,Excellent
PRJ-1073,Prism Agentic Transformation,Prism Media International,AI & Automation,Agentic AI Orchestrator,Sarah Jenkins (Director),Delayed,Medium,377700.0,294900.0,44.3,24.0,12,14,-3,97.1,2026-02-21,2026-06-13,40,Critical
PRJ-1074,Quantum Next.js Transformation,Quantum Aerospace Dynamics,Digital Transformation,Next.js Micro-Frontend,Arthur Pendelton (Director),Active,Medium,567400.0,452700.0,80.9,37.2,5,3,76,85.1,2026-04-04,2026-10-27,91,Excellent
PRJ-1075,Global GenAI Transformation,Global Health Biosciences,AI & Automation,GenAI Enterprise Assistant,Arthur Pendelton (Director),Planned,Low,300700.0,0.0,0.0,33.7,16,0,191,0.0,2026-07-20,2026-12-12,72,Needs Attention
PRJ-1076,Quantum Predictive Transformation,Quantum Aerospace Dynamics,AI & Automation,Predictive Analytics Core,Rachel Green (Sr. Manager),Completed,Low,824000.0,832900.0,100.0,47.1,13,0,0,84.1,2026-03-27,2026-06-06,100,Excellent
PRJ-1077,Centurion Multi-Cloud Transformation,Centurion Capital Partners,Cloud Infrastructure,Multi-Cloud Terraform Mesh,Elena Rostova (Principal Lead),Delayed,High,719600.0,360900.0,36.8,21.6,15,28,-20,95.0,2026-02-22,2026-06-24,46,Critical
PRJ-1078,Pinnacle Predictive Transformation,Pinnacle Mutual Insurance,AI & Automation,Predictive Analytics Core,Marcus Vance (Sr. Manager),Planned,Low,1243800.0,0.0,0.0,34.5,5,0,90,0.0,2026-07-16,2026-11-28,72,Needs Attention
PRJ-1079,Hyperion GCP Transformation,Hyperion Semiconductor Corp,Cloud Infrastructure,GCP Vertex Cloud Ops,Priya Patel (PMO Lead),Active,Medium,505500.0,434000.0,87.9,34.6,11,4,49,86.2,2026-03-10,2026-10-08,90,Excellent
PRJ-1080,Sterling AWS Transformation,Sterling Telecom Corp,Cloud Infrastructure,AWS EKS Multi-Region,Benjamin Hayes (Principal Architect),Delayed,High,689400.0,448000.0,37.8,20.7,16,18,7,96.8,2026-01-26,2026-06-13,39,Critical
PRJ-1081,Quantum React Transformation,Quantum Aerospace Dynamics,Digital Transformation,React Native Omni-App,Jonathan Sterling (Practice Lead),Active,Low,582200.0,366800.0,63.0,47.7,16,2,114,79.4,2026-02-04,2026-10-14,89,Good
PRJ-1082,Pinnacle React Transformation,Pinnacle Mutual Insurance,Digital Transformation,React Native Omni-App,Sarah Jenkins (Director),Planned,Low,764900.0,0.0,0.0,33.3,16,0,98,0.0,2026-07-21,2027-03-17,72,Needs Attention
PRJ-1083,Horizon Next.js Transformation,Horizon Retail Enterprises,Digital Transformation,Next.js Micro-Frontend,Jonathan Sterling (Practice Lead),Delayed,High,581600.0,488900.0,54.3,22.9,5,25,-30,97.7,2026-04-18,2026-06-08,45,Critical
PRJ-1084,Global React Transformation,Global Health Biosciences,Digital Transformation,React Native Omni-App,Liam O'Connor (Principal Architect),Delayed,High,494500.0,375200.0,46.2,22.2,13,19,4,95.5,2026-01-27,2026-06-29,43,Critical
PRJ-1085,Centurion dbt Transformation,Centurion Capital Partners,Data Engineering,dbt Analytics Mesh,Sarah Jenkins (Director),Active,Low,455200.0,407600.0,84.5,39.8,14,0,37,84.6,2026-02-22,2026-08-07,92,Excellent
PRJ-1086,Horizon GenAI Transformation,Horizon Retail Enterprises,AI & Automation,GenAI Enterprise Assistant,Sophia Al-Mansoor (Sr. Manager),Planned,Low,187600.0,0.0,0.0,39.1,9,0,135,0.0,2026-08-22,2027-01-23,74,Needs Attention
PRJ-1087,Pinnacle Apache Transformation,Pinnacle Mutual Insurance,Data Engineering,Apache Kafka Streaming,Elena Rostova (Principal Lead),Planned,Low,685700.0,0.0,0.0,39.1,14,0,103,0.0,2026-08-01,2027-02-26,74,Needs Attention
PRJ-1088,Prism AWS Transformation,Prism Media International,Cloud Infrastructure,AWS EKS Multi-Region,Rachel Green (Sr. Manager),Active,Low,463100.0,186300.0,40.2,40.3,13,2,110,77.1,2026-05-07,2026-08-15,85,Good
PRJ-1089,Oceana Salesforce Transformation,Oceana Global Shipping,Digital Transformation,Salesforce Enterprise Sync,Jonathan Sterling (Practice Lead),Completed,Low,724200.0,752100.0,100.0,40.3,9,0,0,85.7,2025-11-12,2026-05-29,100,Excellent
PRJ-1090,Sterling dbt Transformation,Sterling Telecom Corp,Data Engineering,dbt Analytics Mesh,David Kim (Delivery VP),Delayed,High,1259300.0,520200.0,25.7,15.6,5,27,-12,93.1,2026-02-21,2026-06-22,37,Critical
PRJ-1091,Apex Salesforce Transformation,Apex Financial Group,Digital Transformation,Salesforce Enterprise Sync,Michelle Chang (Director),Delayed,High,1161800.0,1096500.0,56.0,21.3,4,18,-16,96.9,2026-04-01,2026-06-29,42,Critical
PRJ-1092,Oceana Snowflake Transformation,Oceana Global Shipping,Data Engineering,Snowflake Realtime ETL,David Kim (Delivery VP),Active,Low,1031100.0,800000.0,75.7,43.3,15,1,140,83.3,2026-05-30,2026-08-03,93,Excellent
PRJ-1093,Quantum Agentic Transformation,Quantum Aerospace Dynamics,AI & Automation,Agentic AI Orchestrator,Sarah Jenkins (Director),Active,Medium,1102100.0,910600.0,83.8,35.2,5,3,41,84.9,2026-03-18,2026-09-04,91,Excellent
PRJ-1094,Centurion Airflow Transformation,Centurion Capital Partners,Data Engineering,Airflow Governance Sync,Priya Patel (PMO Lead),Delayed,High,484100.0,419900.0,58.5,21.7,11,19,-1,99.3,2026-04-19,2026-06-14,46,Critical
PRJ-1095,Oceana Azure Transformation,Oceana Global Shipping,Cloud Infrastructure,Azure Landing Zone Core,Sophia Al-Mansoor (Sr. Manager),Active,Medium,666600.0,408300.0,63.8,32.3,16,3,93,78.2,2026-02-19,2026-09-19,86,Good
PRJ-1096,Prism Apache Transformation,Prism Media International,Data Engineering,Apache Kafka Streaming,Rachel Green (Sr. Manager),Delayed,High,1372400.0,973300.0,45.4,22.6,5,28,5,95.1,2026-02-20,2026-06-15,42,Critical
PRJ-1097,Oceana AWS Transformation,Oceana Global Shipping,Cloud Infrastructure,AWS EKS Multi-Region,Liam O'Connor (Principal Architect),Delayed,Medium,542800.0,151000.0,20.3,15.7,10,10,1,93.8,2026-01-29,2026-07-08,43,Critical
PRJ-1098,Horizon Serverless Transformation,Horizon Retail Enterprises,Cloud Infrastructure,Serverless Event Grid,Rachel Green (Sr. Manager),Active,Medium,1021600.0,739400.0,71.7,45.4,15,4,44,85.9,2026-03-23,2026-11-14,89,Good
PRJ-1099,Prism GenAI Transformation,Prism Media International,AI & Automation,GenAI Enterprise Assistant,Rachel Green (Sr. Manager),Delayed,High,513700.0,252300.0,31.7,22.3,15,16,-24,99.4,2026-03-09,2026-06-07,38,Critical
PRJ-1100,Oceana Airflow Transformation,Oceana Global Shipping,Data Engineering,Airflow Governance Sync,Arthur Pendelton (Director),Completed,Low,508600.0,525800.0,100.0,51.3,5,0,0,78.7,2026-03-27,2026-06-14,100,Excellent
PRJ-1101,Apex Serverless Transformation,Apex Financial Group,Cloud Infrastructure,Serverless Event Grid,Sarah Jenkins (Director),Delayed,High,466600.0,339200.0,50.4,14.5,6,26,-17,98.3,2026-05-02,2026-07-08,42,Critical
PRJ-1102,Horizon Multi-Cloud Transformation,Horizon Retail Enterprises,Cloud Infrastructure,Multi-Cloud Terraform Mesh,Benjamin Hayes (Principal Architect),Delayed,Medium,153700.0,145400.0,59.4,13.3,6,14,-29,93.9,2026-04-17,2026-06-11,46,Critical
PRJ-1103,Prism Snowflake Transformation,Prism Media International,Data Engineering,Snowflake Realtime ETL,Arthur Pendelton (Director),Completed,Low,495000.0,499500.0,100.0,45.0,6,0,0,84.0,2026-01-09,2026-05-20,100,Excellent
PRJ-1104,Nexus SAP Transformation,Nexus Renewable Energy,Digital Transformation,SAP S/4HANA Core Modernization,Jonathan Sterling (Practice Lead),Active,Medium,737600.0,604900.0,85.9,37.4,7,4,107,86.6,2026-03-18,2026-07-28,91,Excellent
PRJ-1105,Pinnacle GenAI Transformation,Pinnacle Mutual Insurance,AI & Automation,GenAI Enterprise Assistant,Rachel Green (Sr. Manager),Active,Medium,787300.0,273300.0,36.2,34.7,11,4,41,79.8,2026-03-15,2026-12-01,80,Good
PRJ-1106,Prism dbt Transformation,Prism Media International,Data Engineering,dbt Analytics Mesh,Jonathan Sterling (Practice Lead),Planned,Low,807200.0,0.0,0.0,29.4,10,0,89,0.0,2026-07-22,2027-02-26,71,Needs Attention
PRJ-1107,Quantum GCP Transformation,Quantum Aerospace Dynamics,Cloud Infrastructure,GCP Vertex Cloud Ops,David Kim (Delivery VP),Active,Medium,1225600.0,655700.0,55.7,37.6,10,3,57,80.7,2026-03-24,2026-09-16,86,Good
PRJ-1108,Global GCP Transformation,Global Health Biosciences,Cloud Infrastructure,GCP Vertex Cloud Ops,Marcus Vance (Sr. Manager),Delayed,Medium,271200.0,199600.0,48.5,18.7,5,13,7,99.2,2026-05-01,2026-07-10,43,Critical
PRJ-1109,Pinnacle Databricks Transformation,Pinnacle Mutual Insurance,Data Engineering,Databricks Lakehouse Core,Arthur Pendelton (Director),Delayed,High,1373500.0,1244200.0,54.1,19.2,10,18,-8,93.7,2026-03-10,2026-07-01,44,Critical
PRJ-1110,Oceana Azure Transformation,Oceana Global Shipping,Cloud Infrastructure,Azure Landing Zone Core,Liam O'Connor (Principal Architect),Planned,Low,290700.0,0.0,0.0,33.1,12,0,131,0.0,2026-07-17,2026-12-10,72,Needs Attention
